,team,task,task_type,score,incorrect,correct,time_till_correct
0,MyScéal,LSC22-KIS01,KIS,93.67233333333334,0,1,37.966
1,LifeSeeker,LSC22-KIS01,KIS,96.76283333333333,0,1,19.423
2,MEMENTO,LSC22-KIS01,KIS,93.18366666666667,0,1,40.898
3,FIRST,LSC22-KIS01,KIS,90.45333333333333,0,1,57.28
4,Voxento,LSC22-KIS01,KIS,89.96933333333334,2,1,57.784
5,vitrivr,LSC22-KIS01,KIS,0.0,0,0,
6,lifeXplore,LSC22-KIS01,KIS,0.0,1,0,
7,vitrivr-VR,LSC22-KIS01,KIS,0.0,1,0,
8,MEMORIA,LSC22-KIS01,KIS,0.0,0,0,
9,MyScéal,LSC22-QA01,QA,48.900555555555556,0,1,180
10,LifeSeeker,LSC22-QA01,QA,49.00805555555555,0,1,180
11,MEMENTO,LSC22-QA01,QA,60.86,0,1,140.904
12,FIRST,LSC22-QA01,QA,0.0,0,0,
13,Voxento,LSC22-QA01,QA,0.0,0,0,
14,vitrivr,LSC22-QA01,QA,0.0,0,0,
15,lifeXplore,LSC22-QA01,QA,0.0,0,0,
16,vitrivr-VR,LSC22-QA01,QA,0.0,1,0,
17,MEMORIA,LSC22-QA01,QA,0.0,1,0,
18,MyScéal,LSC22-AH01,AD,43.257543257543254,1,55,17.912
19,LifeSeeker,LSC22-AH01,AD,57.15358215358215,2,73,24.762
20,MEMENTO,LSC22-AH01,AD,55.95515595515596,1,71,18.039
21,FIRST,LSC22-AH01,AD,10.761366693570084,19,20,40.519
22,Voxento,LSC22-AH01,AD,39.682539682539684,0,50,39.681
23,vitrivr,LSC22-AH01,AD,33.714896214896214,10,47,17.966
24,lifeXplore,LSC22-AH01,AD,6.349206349206349,0,8,81.279
25,vitrivr-VR,LSC22-AH01,AD,8.73015873015873,0,11,21.118
26,MEMORIA,LSC22-AH01,AD,9.523809523809524,0,12,98.103
27,MyScéal,LSC22-KIS02,KIS,64.75883333333333,5,1,205.447
28,LifeSeeker,LSC22-KIS02,KIS,63.517999999999994,1,1,217.692
29,MEMENTO,LSC22-KIS02,KIS,58.230000000000004,4,1,245.82
30,FIRST,LSC22-KIS02,KIS,62.772,2,1,220.968
31,Voxento,LSC22-KIS02,KIS,78.64483333333334,0,1,128.131
32,vitrivr,LSC22-KIS02,KIS,0.0,3,0,
33,lifeXplore,LSC22-KIS02,KIS,64.26233333333333,2,1,212.026
34,vitrivr-VR,LSC22-KIS02,KIS,51.938500000000005,1,1,287.169
35,MEMORIA,LSC22-KIS02,KIS,0.0,0,0,
36,MyScéal,LSC22-QA02,QA,90.77916666666667,0,1,33.195
37,LifeSeeker,LSC22-QA02,QA,84.33361111111111,0,1,56.399
38,MEMENTO,LSC22-QA02,QA,92.23777777777778,0,1,27.944
39,FIRST,LSC22-QA02,QA,90.52222222222223,0,1,34.12
40,Voxento,LSC22-QA02,QA,92.43277777777777,0,1,27.242
41,vitrivr,LSC22-QA02,QA,89.94777777777777,0,1,36.188
42,lifeXplore,LSC22-QA02,QA,92.58,0,1,26.712
43,vitrivr-VR,LSC22-QA02,QA,92.85333333333332,0,1,25.728
44,MEMORIA,LSC22-QA02,QA,71.32611111111112,0,1,103.226
45,MyScéal,LSC22-AH02,AD,28.551446315671683,49,189,32.184
46,LifeSeeker,LSC22-AH02,AD,38.76419059924599,199,302,20.893
47,MEMENTO,LSC22-AH02,AD,4.42320819112628,28,36,24.46
48,FIRST,LSC22-AH02,AD,15.484768044495006,33,105,53.338
49,Voxento,LSC22-AH02,AD,4.753484929479008,15,34,27.416
50,vitrivr,LSC22-AH02,AD,12.542662116040956,24,84,39.278
51,lifeXplore,LSC22-AH02,AD,13.508004891656208,167,130,22.335
52,vitrivr-VR,LSC22-AH02,AD,4.6598407281001135,11,32,48.143
53,MEMORIA,LSC22-AH02,AD,7.522753128555176,4,46,97.312
54,MyScéal,LSC22-KIS03,KIS,96.958,0,1,18.252
55,LifeSeeker,LSC22-KIS03,KIS,92.63016666666667,0,1,44.219
56,MEMENTO,LSC22-KIS03,KIS,96.81649999999999,0,1,19.101
57,FIRST,LSC22-KIS03,KIS,92.09450000000001,0,1,47.433
58,Voxento,LSC22-KIS03,KIS,94.82966666666667,0,1,31.022
59,vitrivr,LSC22-KIS03,KIS,68.3395,0,1,189.963
60,lifeXplore,LSC22-KIS03,KIS,87.50016666666667,0,1,74.999
61,vitrivr-VR,LSC22-KIS03,KIS,0.0,0,0,
62,MEMORIA,LSC22-KIS03,KIS,0.0,0,0,
63,MyScéal,LSC22-QA03,QA,93.75722222222223,0,1,22.474
64,LifeSeeker,LSC22-QA03,QA,90.79222222222222,0,1,33.148
65,MEMENTO,LSC22-QA03,QA,89.02694444444444,0,1,39.503
66,FIRST,LSC22-QA03,QA,80.37027777777777,0,1,70.667
67,Voxento,LSC22-QA03,QA,75.4175,0,1,88.497
68,vitrivr,LSC22-QA03,QA,53.00055555555555,0,1,169.198
69,lifeXplore,LSC22-QA03,QA,0.0,1,0,
70,vitrivr-VR,LSC22-QA03,QA,51.617222222222225,0,1,174.178
71,MEMORIA,LSC22-QA03,QA,75.52805555555555,0,1,88.099
72,MyScéal,LSC22-KIS04,KIS,94.93983333333333,0,1,30.361
73,LifeSeeker,LSC22-KIS04,KIS,73.82666666666667,1,1,155.84
74,MEMENTO,LSC22-KIS04,KIS,95.73816666666667,0,1,25.571
75,FIRST,LSC22-KIS04,KIS,83.2175,0,1,100.695
76,Voxento,LSC22-KIS04,KIS,95.89116666666666,0,1,24.653
77,vitrivr,LSC22-KIS04,KIS,60.20816666666667,2,1,236.351
78,lifeXplore,LSC22-KIS04,KIS,77.516,0,1,134.904
79,vitrivr-VR,LSC22-KIS04,KIS,74.34016666666666,1,1,152.759
80,MEMORIA,LSC22-KIS04,KIS,0.0,1,0,
81,MyScéal,LSC22-AD03,AD,74.80586712683348,12,51,28.574
82,LifeSeeker,LSC22-AD03,AD,82.25573770491802,13,56,44.245
83,MEMENTO,LSC22-AD03,AD,44.26229508196721,0,27,40.072
84,FIRST,LSC22-AD03,AD,35.39645366343259,3,23,43.782
85,Voxento,LSC22-AD03,AD,45.90163934426229,0,28,20.732
86,vitrivr,LSC22-AD03,AD,41.81874420043304,1,26,39.011
87,lifeXplore,LSC22-AD03,AD,0.0,0,0,
88,vitrivr-VR,LSC22-AD03,AD,36.13387978142076,2,23,23.429
89,MEMORIA,LSC22-AD03,AD,0.0,0,0,
90,MyScéal,LSC22-QA04,QA,68.27972222222222,0,1,114.193
91,LifeSeeker,LSC22-QA04,QA,63.40694444444444,0,1,131.735
92,MEMENTO,LSC22-QA04,QA,0.0,1,0,
93,FIRST,LSC22-QA04,QA,75.19222222222223,0,1,89.308
94,Voxento,LSC22-QA04,QA,0.0,1,0,
95,vitrivr,LSC22-QA04,QA,0.0,0,0,
96,lifeXplore,LSC22-QA04,QA,74.69666666666666,0,1,91.092
97,vitrivr-VR,LSC22-QA04,QA,0.0,0,0,
98,MEMORIA,LSC22-QA04,QA,65.67055555555555,0,1,123.586
99,MyScéal,LSC22-KIS05,KIS,81.122,0,1,113.268
100,LifeSeeker,LSC22-KIS05,KIS,50.07816666666667,3,1,295.931
101,MEMENTO,LSC22-KIS05,KIS,85.52666666666667,0,1,86.84
102,FIRST,LSC22-KIS05,KIS,73.61516666666667,0,1,158.309
103,Voxento,LSC22-KIS05,KIS,64.8505,2,1,208.497
104,vitrivr,LSC22-KIS05,KIS,76.24683333333333,0,1,142.519
105,lifeXplore,LSC22-KIS05,KIS,70.57283333333334,0,1,176.563
106,vitrivr-VR,LSC22-KIS05,KIS,83.22333333333333,0,1,100.66
107,MEMORIA,LSC22-KIS05,KIS,84.37683333333334,0,1,93.739
108,MyScéal,LSC22-QA05,QA,82.29472222222222,0,1,63.739
109,LifeSeeker,LSC22-QA05,QA,81.67611111111111,0,1,65.966
110,MEMENTO,LSC22-QA05,QA,0.0,1,0,
111,FIRST,LSC22-QA05,QA,0.0,1,0,
112,Voxento,LSC22-QA05,QA,0.0,1,0,
113,vitrivr,LSC22-QA05,QA,83.26638888888888,0,1,60.241
114,lifeXplore,LSC22-QA05,QA,83.78777777777778,0,1,58.364
115,vitrivr-VR,LSC22-QA05,QA,56.55777777777778,0,1,156.392
116,MEMORIA,LSC22-QA05,QA,0.0,1,0,
117,MyScéal,LSC22-QA06,QA,75.82055555555556,0,1,87.046
118,LifeSeeker,LSC22-QA06,QA,66.76555555555555,0,1,119.644
119,MEMENTO,LSC22-QA06,QA,74.79555555555555,0,1,90.736
120,FIRST,LSC22-QA06,QA,65.07972222222223,0,1,125.713
121,Voxento,LSC22-QA06,QA,0.0,1,0,
122,vitrivr,LSC22-QA06,QA,86.90722222222223,0,1,47.134
123,lifeXplore,LSC22-QA06,QA,0.0,1,0,
124,vitrivr-VR,LSC22-QA06,QA,80.51833333333335,0,1,70.134
125,MEMORIA,LSC22-QA06,QA,60.55722222222222,0,1,141.994
126,MyScéal,LSC22-KIS06,KIS,80.04216666666667,0,1,119.747
127,LifeSeeker,LSC22-KIS06,KIS,79.67750000000001,0,1,121.935
128,MEMENTO,LSC22-KIS06,KIS,89.58333333333333,1,1,61.3
129,FIRST,LSC22-KIS06,KIS,82.50133333333333,1,1,103.792
130,Voxento,LSC22-KIS06,KIS,84.32016666666665,1,1,92.879
131,vitrivr,LSC22-KIS06,KIS,0.0,1,0,
132,lifeXplore,LSC22-KIS06,KIS,77.11683333333333,2,1,134.899
133,vitrivr-VR,LSC22-KIS06,KIS,0.0,1,0,
134,MEMORIA,LSC22-KIS06,KIS,0.0,0,0,
135,MyScéal,LSC22-AD06,AD,24.615384615384617,2,4,58.796
136,LifeSeeker,LSC22-AD06,AD,8.144796380090499,56,6,48.529
137,MEMENTO,LSC22-AD06,AD,4.395604395604396,10,2,23.653
