,team,task,task_type,score,incorrect,correct,time_till_correct
138,FIRST,LSC22-AD06,AD,23.076923076923077,0,3,28.501
139,Voxento,LSC22-AD06,AD,7.6923076923076925,0,1,30.666
140,vitrivr,LSC22-AD06,AD,34.96503496503496,1,5,45.163
141,lifeXplore,LSC22-AD06,AD,39.560439560439555,2,6,54.969
142,vitrivr-VR,LSC22-AD06,AD,0.0,2,0,
143,MEMORIA,LSC22-AD06,AD,15.384615384615385,0,2,156.215
144,MyScéal,LSC22-KIS09,KIS,95.33449999999999,0,1,27.993
145,LifeSeeker,LSC22-KIS09,KIS,97.88,0,1,12.72
146,MEMENTO,LSC22-KIS09,KIS,96.90916666666666,0,1,18.545
147,FIRST,LSC22-KIS09,KIS,96.00083333333333,0,1,23.995
148,Voxento,LSC22-KIS09,KIS,96.91866666666667,0,1,18.488
149,vitrivr,LSC22-KIS09,KIS,87.70883333333333,0,1,73.747
150,lifeXplore,LSC22-KIS09,KIS,97.70349999999999,0,1,13.779
151,vitrivr-VR,LSC22-KIS09,KIS,96.42033333333333,0,1,21.478
152,MEMORIA,LSC22-KIS09,KIS,0.0,11,0,
153,MyScéal,LSC22-AD09,AD,29.605263157894736,0,45,16.76
154,LifeSeeker,LSC22-AD09,AD,34.312613430127044,6,55,31.923
155,MEMENTO,LSC22-AD09,AD,42.10526315789474,18,72,25.753
156,FIRST,LSC22-AD09,AD,7.578947368421052,1,12,31.928
157,Voxento,LSC22-AD09,AD,18.50328947368421,4,30,29.616
158,vitrivr,LSC22-AD09,AD,6.265664160401003,1,10,93.94
159,lifeXplore,LSC22-AD09,AD,14.68515037593985,6,25,77.595
160,vitrivr-VR,LSC22-AD09,AD,7.173174872665536,5,13,27.839
161,MEMORIA,LSC22-AD09,AD,1.0526315789473684,1,2,148.086
162,MyScéal,LSC220KIS10,KIS,70.20166666666667,0,1,178.79
163,LifeSeeker,LSC220KIS10,KIS,66.38733333333333,1,1,200.476
164,MEMENTO,LSC220KIS10,KIS,72.6155,1,1,163.107
165,FIRST,LSC220KIS10,KIS,54.748666666666665,0,1,271.508
166,Voxento,LSC220KIS10,KIS,0.0,2,0,
167,vitrivr,LSC220KIS10,KIS,70.74783333333333,0,1,175.513
168,lifeXplore,LSC220KIS10,KIS,0.0,1,0,
169,vitrivr-VR,LSC220KIS10,KIS,0.0,0,0,
170,MEMORIA,LSC220KIS10,KIS,0.0,0,0,
171,MyScéal,LSC22-QA08,QA,91.53138888888888,0,1,30.487
172,LifeSeeker,LSC22-QA08,QA,85.86861111111111,0,1,50.873
173,MEMENTO,LSC22-QA08,QA,90.74055555555556,0,1,33.334
174,FIRST,LSC22-QA08,QA,87.92833333333333,0,1,43.458
175,Voxento,LSC22-QA08,QA,94.26527777777778,0,1,20.645
176,vitrivr,LSC22-QA08,QA,88.30138888888888,0,1,42.115
177,lifeXplore,LSC22-QA08,QA,52.57833333333334,0,1,170.718
178,vitrivr-VR,LSC22-QA08,QA,60.42083333333333,0,1,142.485
179,MEMORIA,LSC22-QA08,QA,72.71777777777778,0,1,98.216
180,MyScéal,LSC22-AD10,AD,44.62817233916979,16,213,12.42
181,LifeSeeker,LSC22-AD10,AD,34.14158305462653,40,175,44.747
182,MEMENTO,LSC22-AD10,AD,19.546129374337223,13,96,30.39
183,FIRST,LSC22-AD10,AD,30.799578843057102,256,223,25.163
184,Voxento,LSC22-AD10,AD,15.434782608695652,0,71,21.636
185,vitrivr,LSC22-AD10,AD,12.248520710059172,31,69,56.626
186,lifeXplore,LSC22-AD10,AD,30.552816375317498,5,143,21.328
187,vitrivr-VR,LSC22-AD10,AD,7.147690746066655,127,65,32.354
188,MEMORIA,LSC22-AD10,AD,1.4202898550724636,1,7,118.112
189,MyScéal,LSC22-KIS11,KIS,88.13366666666667,0,1,71.198
190,LifeSeeker,LSC22-KIS11,KIS,60.586499999999994,1,1,235.281
191,MEMENTO,LSC22-KIS11,KIS,70.82883333333334,1,1,173.827
192,FIRST,LSC22-KIS11,KIS,81.03316666666666,0,1,113.801
193,Voxento,LSC22-KIS11,KIS,71.04866666666666,0,1,173.708
194,vitrivr,LSC22-KIS11,KIS,78.67383333333333,0,1,127.957
195,lifeXplore,LSC22-KIS11,KIS,0.0,4,0,
196,vitrivr-VR,LSC22-KIS11,KIS,84.11500000000001,0,1,95.31
197,MEMORIA,LSC22-KIS11,KIS,0.0,1,0,
198,MyScéal,LSC22-KIS08,KIS,85.8375,0,1,84.975
199,LifeSeeker,LSC22-KIS08,KIS,93.40283333333333,0,1,39.583
200,MEMENTO,LSC22-KIS08,KIS,56.9585,1,1,257.049
201,FIRST,LSC22-KIS08,KIS,79.06916666666666,0,1,125.585
202,Voxento,LSC22-KIS08,KIS,87.624,0,1,74.256
203,vitrivr,LSC22-KIS08,KIS,85.09583333333333,1,1,88.225
204,lifeXplore,LSC22-KIS08,KIS,84.96983333333333,0,1,90.181
205,vitrivr-VR,LSC22-KIS08,KIS,70.298,0,1,178.212
206,MEMORIA,LSC22-KIS08,KIS,0.0,0,0,
207,MyScéal,LSC22-QA12,QA,91.44999999999999,0,1,30.78
208,LifeSeeker,LSC22-QA12,QA,93.57305555555556,0,1,23.137
209,MEMENTO,LSC22-QA12,QA,92.5375,0,1,26.865
210,FIRST,LSC22-QA12,QA,86.58388888888888,0,1,48.298
211,Voxento,LSC22-QA12,QA,94.53305555555556,0,1,19.681
212,vitrivr,LSC22-QA12,QA,82.44972222222222,0,1,63.181
213,lifeXplore,LSC22-QA12,QA,90.91194444444446,0,1,32.717
214,vitrivr-VR,LSC22-QA12,QA,85.43166666666667,0,1,52.446
215,MEMORIA,LSC22-QA12,QA,64.75444444444445,0,1,126.884
216,MyScéal,LSC22-QA09,QA,96.42138888888888,0,1,12.883
217,LifeSeeker,LSC22-QA09,QA,95.13555555555556,0,1,17.512
218,MEMENTO,LSC22-QA09,QA,93.37694444444443,0,1,23.843
219,FIRST,LSC22-QA09,QA,90.23666666666666,0,1,35.148
220,Voxento,LSC22-QA09,QA,93.83888888888889,0,1,22.18
221,vitrivr,LSC22-QA09,QA,85.05666666666667,0,1,53.796
222,lifeXplore,LSC22-QA09,QA,75.42750000000001,0,1,88.461
223,vitrivr-VR,LSC22-QA09,QA,93.30888888888889,0,1,24.088
224,MEMORIA,LSC22-QA09,QA,0.0,0,0,
