Unnamed: 0,team,task,task_type,score,incorrect,correct,time_till_correct,novice,year,precision
69,lifeXplore,LSC22-QA03,QA,0.0,1,0,,False,2022,0.0
70,vitrivr-VR,LSC22-QA03,QA,51.61722222222223,0,1,174.178,False,2022,1.0
71,MEMORIA,LSC22-QA03,QA,75.52805555555555,0,1,88.099,False,2022,1.0
72,MyScéal,LSC22-KIS04,KIS,94.93983333333333,0,1,30.361,False,2022,1.0
73,LifeSeeker,LSC22-KIS04,KIS,73.82666666666667,1,1,155.84,False,2022,0.5
74,MEMENTO,LSC22-KIS04,KIS,95.73816666666669,0,1,25.571,False,2022,1.0
75,FIRST,LSC22-KIS04,KIS,83.2175,0,1,100.695,False,2022,1.0
76,Voxento,LSC22-KIS04,KIS,95.89116666666666,0,1,24.653,False,2022,1.0
77,vitrivr,LSC22-KIS04,KIS,60.20816666666667,2,1,236.351,False,2022,0.3333333333333333
78,lifeXplore,LSC22-KIS04,KIS,77.516,0,1,134.904,False,2022,1.0
79,vitrivr-VR,LSC22-KIS04,KIS,74.34016666666666,1,1,152.759,False,2022,0.5
80,MEMORIA,LSC22-KIS04,KIS,0.0,1,0,,False,2022,0.0
81,MyScéal,LSC22-AD03,AD,74.80586712683348,12,51,28.574,False,2022,0.8095238095238095
82,LifeSeeker,LSC22-AD03,AD,82.25573770491802,13,56,44.245,False,2022,0.8115942028985508
83,MEMENTO,LSC22-AD03,AD,44.26229508196721,0,27,40.072,False,2022,1.0
84,FIRST,LSC22-AD03,AD,35.39645366343259,3,23,43.782,False,2022,0.8846153846153846
85,Voxento,LSC22-AD03,AD,45.90163934426229,0,28,20.732,False,2022,1.0
86,vitrivr,LSC22-AD03,AD,41.81874420043304,1,26,39.011,False,2022,0.9629629629629629
87,lifeXplore,LSC22-AD03,AD,0.0,0,0,,False,2022,0.0
88,vitrivr-VR,LSC22-AD03,AD,36.13387978142076,2,23,23.429,False,2022,0.92
89,MEMORIA,LSC22-AD03,AD,0.0,0,0,,False,2022,0.0
90,MyScéal,LSC22-QA04,QA,68.27972222222222,0,1,114.193,False,2022,1.0
91,LifeSeeker,LSC22-QA04,QA,63.40694444444444,0,1,131.735,False,2022,1.0
92,MEMENTO,LSC22-QA04,QA,0.0,1,0,,False,2022,0.0
93,FIRST,LSC22-QA04,QA,75.19222222222223,0,1,89.308,False,2022,1.0
94,Voxento,LSC22-QA04,QA,0.0,1,0,,False,2022,0.0
95,vitrivr,LSC22-QA04,QA,0.0,0,0,,False,2022,0.0
96,lifeXplore,LSC22-QA04,QA,74.69666666666666,0,1,91.092,False,2022,1.0
97,vitrivr-VR,LSC22-QA04,QA,0.0,0,0,,False,2022,0.0
98,MEMORIA,LSC22-QA04,QA,65.67055555555555,0,1,123.586,False,2022,1.0
99,MyScéal,LSC22-KIS05,KIS,81.122,0,1,113.268,False,2022,1.0
