SYSTEM	1	2	3	4	5	6	7	8
A	-1	1	2	0	-1	-1	2	1
B	1	1	1	2	2	1	1	2
A	2	-3	1	-1	1	1	2	2
B	2	2	3	3	2	2	2	2
A	1	2	0	0	1	1	-1	1
B	2	1	1	-1	1	1	1	2
A	1	2	2	1	0	1	2	1
B	2	2	2	1	1	1	2	2
A	2	2	2	3	3	3	3	2
B	2	0	2	1	2	3	3	2
A	0	-1	-1	-1	1	2	1	1
B	2	2	1	0	1	3	1	1
A	-1	-1	-1	0	0	0	0	0
B	1	1	1	0	1	0	1	1
A	0	3	0	0	1	2	1	0
B	3	3	2	1	3	2	3	3
A	0	-1	-1	-1	0	-2	2	3
B	3	3	3	2	0	1	3	3
A	1	1	1	0	1	1	1	1
B	2	3	2	3	2	3	3	3
